what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1766460462833
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1766460462833
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1766460462833
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1766460462833
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1766460462833
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1766460462833
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1766460462833
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1766460462833
os,sysinfo,,,"win32",1766460462835
arch,sysinfo,,,"x86",1766460462835
ws,sysinfo,,,"win32",1766460462835
locale,sysinfo,,,"vi_VN",1766460462835
processors,sysinfo,,,"16",1766460462835
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1766460462835
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1766460462835
java.specification.name,sysinfo,,,"Java Platform API Specification",1766460462835
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766460462835
java.specification.version,sysinfo,,,"1.6",1766460462835
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766460462835
java.version,sysinfo,,,"1.6.0_23",1766460462835
java.vm.info,sysinfo,,,"mixed mode",1766460462835
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766460462835
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766460462835
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766460462835
java.vm.specification.version,sysinfo,,,"1.0",1766460462835
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1766460462835
java.vm.version,sysinfo,,,"19.0-b09",1766460462835
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1766460463884
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766460466275
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766460744267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766460748424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461298509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461312942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461327653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461332518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461383293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766461384796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766461385248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461386428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461388777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461390571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461391398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461393412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461661928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766461687666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461699051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461881447
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766461883125
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1766461884315
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766461884346
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766461885321
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766461885367
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766461885371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461887556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461891761
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1766461892594
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1766461892850
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766461892856
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766461894254
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766461894254
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766461894254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461896653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461896668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461904866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461906347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766461906991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766462475627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766462480423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464203897
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1766464206027
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1766464206102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464211803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1766464211830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464217718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464220422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464225737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766464228663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465198743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465201132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1766465201159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465205815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465277492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465284380
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1766465289674
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1766465289690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465296997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465299985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465309506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465316625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465319540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465323606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465324522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465837937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465838903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465839822
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766465839922
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766465840007
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1766465840296
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766465840296
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1766465840296
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1766465840297
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1766465840297
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1766465840297
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1766465840297
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1766465840297
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1766465840297
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1766465840297
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766465840297
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766465840297
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1766465840297
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1766465840297
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766465840299
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1766465840299
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1766465840299
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766465840299
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766465840300
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766465840300
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1766465840300
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766465840300
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766465840300
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1766465840300
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1766465840300
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1766465840300
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1766465840300
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1766465840301
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1766465840301
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1766465840301
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1766465840302
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766465840302
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1766465840302
stopped,bundle,com.altera.sbtgui.flash.plugin,13.13.0.132,"com.altera.sbtgui.flash.plugin",1766465840302
stopped,bundle,com.altera.sbtgui.gprof,13.13.0.132,"com.altera.sbtgui.gprof",1766465840302
stopped,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1766465840302
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1766465840305
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1766465840306
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1766465840306
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1766465840306
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1766465840307
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1766465840307
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1766465840307
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1766465840307
stopped,bundle,org.eclipse.rse.shells.ui,3.0.301.R33x_v201107181530,"org.eclipse.rse.shells.ui",1766465840307
stopped,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1766465840307
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1766465840307
