what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1766479982359
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1766479982360
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1766479982360
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1766479982360
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1766479982360
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1766479982360
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1766479982360
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1766479982374
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1766479982374
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1766479982375
os,sysinfo,,,"win32",1766479982376
arch,sysinfo,,,"x86",1766479982376
ws,sysinfo,,,"win32",1766479982376
locale,sysinfo,,,"vi_VN",1766479982376
processors,sysinfo,,,"16",1766479982376
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1766479982376
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1766479982376
java.specification.name,sysinfo,,,"Java Platform API Specification",1766479982376
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766479982376
java.specification.version,sysinfo,,,"1.6",1766479982376
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766479982376
java.version,sysinfo,,,"1.6.0_23",1766479982376
java.vm.info,sysinfo,,,"mixed mode",1766479982376
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766479982376
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766479982376
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766479982376
java.vm.specification.version,sysinfo,,,"1.0",1766479982376
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1766479982376
java.vm.version,sysinfo,,,"19.0-b09",1766479982376
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1766479982629
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1766479982675
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1766479982739
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1766479982794
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1766479984443
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766479984887
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766479989854
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1766479992259
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766479992307
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1766479992474
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1766479992807
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1766479993062
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1766479993192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766479997650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766479999610
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766480003295
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766480003322
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766480003323
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766480003323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480003358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480008106
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766480013475
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766480013478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480018463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480042867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480047063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480052442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480060736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480062264
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1766480063141
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766480063168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480072119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480072137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480076963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480077167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480080100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480287866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480292166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480519166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766480521276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766483273562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766483275007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766483276067
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766483276345
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1766547259273
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1766547259273
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1766547259273
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1766547259273
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1766547259273
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1766547259273
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1766547259273
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1766547259273
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1766547259273
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1766547259273
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1766547259273
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1766547259273
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1766547259273
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1766547259273
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1766547259273
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1766547259273
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1766547259273
